gene,gtex_top_tissues,expression_breadth,hpa_class,gnomad_pLI,gnomad_LOEUF,essentiality_flag,on_target_liability,safety_call
TNFRSF9,Cells_EBV-transformed_lymphocytes(1.7); Whole_Blood(1.4); Spleen(1.3); Lung(0.4); Small_Intestine_Terminal_Ileum(0.4),immune-restricted,cell-surface costimulatory TNF receptor (4-1BB/CD137),0.003,0.843,False,"Cell-surface costimulatory receptor on activated T/NK; expression blood/spleen/lymphocyte-restricted, very low TPM elsewhere. LoF-tolerant (pLI 0.003, LOEUF 0.84). Clinically drugged (urelumab/utomilumab agonists). CAVEAT: GTEx is a resting/bulk-tissue survey; this receptor is activation-inducible, so low off-tissue TPM reflects the resting state only, not an activated-state safety negative.",clean (resting-state)
RAC2,Whole_Blood(960.4); Cells_EBV-transformed_lymphocytes(785.7); Spleen(366.8); Lung(81.9); Cells_Cultured_fibroblasts(66.5),immune-restricted,"hematopoietic Rho GTPase (group enriched, blood/spleen)",1.0,0.197,True,"Hematopoietic-restricted Rho GTPase but strongly LoF-intolerant (pLI 1.0, LOEUF 0.20). Germline variants cause immunodeficiency/neutrophil dysfunction — on-target hematopoietic essentiality despite tissue-restricted expression.",watch
BAHD1,Ovary(44.6); Testis(42.0); Thyroid(36.1); Uterus(29.2); Adrenal_Gland(28.9),broad,"chromatin/heterochromatin reader (low tissue specificity, detected in all)",0.998,0.461,True,"Broadly expressed heterochromatin-assembly factor, LoF-intolerant (pLI 0.998, LOEUF 0.46). Ubiquitous chromatin regulator — systemic inhibition risks broad effects.",watch
JADE2,Brain_Cerebellar_Hemisphere(31.1); Brain_Cerebellum(30.2); Cells_EBV-transformed_lymphocytes(29.6); Fallopian_Tube(29.1); Spleen(29.0),broad,"PHD-finger subunit of HBO1/MYST HAT complex (broad, incl. cerebellum)",1.0,0.241,True,"Broadly expressed incl. brain; highly LoF-intolerant (pLI 1.0, LOEUF 0.24, lof_z 6.7). Component of a histone-acetyltransferase complex — chromatin machinery, broad essentiality signal.",watch
INTS6,Testis(11.5); Cells_EBV-transformed_lymphocytes(7.8); Cells_Cultured_fibroblasts(5.5); Vagina(5.3); Ovary(5.0),broad,core Integrator complex subunit 6 (HPA 'Essential proteins'),1.0,0.232,True,"Core subunit of the Integrator complex (snRNA 3'-end processing, RNAPII pause release). Broadly expressed, HPA-flagged essential, pLI 1.0, LOEUF 0.23. Broadly essential multiprotein complex.",liability
URM1,Cells_Cultured_fibroblasts(46.0); Cervix_Endocervix(44.3); Uterus(43.2); Cervix_Ectocervix(42.7); Nerve_Tibial(41.9),broad,"ubiquitin-related modifier, tRNA thiolation (HPA 'Essential proteins')",0.005,1.03,True,"Broadly expressed sulfur-carrier for tRNA wobble thiolation (housekeeping). HPA flags essential; gnomAD LoF-tolerant (pLI 0.005, LOEUF 1.03) but the gene is short/low-power so tolerance is weak evidence. Conflicting essentiality signal.",watch
IFNAR1,Cells_Cultured_fibroblasts(33.0); Adipose_Visceral_Omentum(28.9); Adipose_Subcutaneous(28.8); Lung(28.2); Nerve_Tibial(28.0),broad,ubiquitous cell-surface type I interferon receptor chain,0.0,0.966,False,"Type I IFN receptor on essentially all nucleated cells (broad GTEx). LoF-tolerant (pLI 0, LOEUF 0.97) but on-target blockade → impaired antiviral immunity (anifrolumab precedent). Ubiquitous surface receptor.",watch
TATDN2,Ovary(46.9); Cervix_Endocervix(41.6); Cervix_Ectocervix(41.0); Thyroid(40.0); Uterus(39.6),broad,putative TatD-family nuclease (low tissue specificity),0.0,0.939,False,"Broadly expressed putative nuclease, LoF-tolerant (pLI 0, LOEUF 0.94). No strong essentiality signal, but ubiquitous expression means limited tissue selectivity for a systemic agent.",watch
TRIT1,Uterus(39.8); Thyroid(38.5); Prostate(38.1); Skin_Sun_Exposed_Lower_leg(37.6); Cells_EBV-transformed_lymphocytes(36.5),broad,tRNA isopentenyltransferase (low tissue specificity),0.0,1.082,False,"Broadly expressed cyto+mito tRNA-modification enzyme. gnomAD LoF-tolerant (pLI 0, LOEUF 1.08) but biallelic LOF causes mitochondrial disease (COXPD/encephalopathy). Housekeeping enzyme; recessive disease liability.",watch
TWF1,Cells_Cultured_fibroblasts(76.0); Esophagus_Mucosa(60.0); Vagina(43.2); Cervix_Ectocervix(40.7); Bladder(38.4),broad,"twinfilin-1, actin-depolymerizing regulator (broad)",0.998,0.457,True,"Broadly expressed cytoskeletal (actin) regulator, LoF-intolerant (pLI 0.998, LOEUF 0.46). Ubiquitous housekeeping function — systemic inhibition liability.",watch
SNRPB2,Cells_EBV-transformed_lymphocytes(69.4); Cells_Cultured_fibroblasts(60.3); Nerve_Tibial(43.0); Ovary(40.3); Uterus(39.5),broad,U2 snRNP B'' — core spliceosome (HPA 'Essential proteins'),0.001,0.924,True,"Core U2 snRNP spliceosomal protein — broadly essential for pre-mRNA splicing. HPA flags essential; gnomAD LoF-tolerant (pLI 0.001, LOEUF 0.92) reflects short haplosufficient gene, NOT dispensability. Core spliceosome.",liability
PAXIP1,Brain_Cerebellar_Hemisphere(33.5); Brain_Cerebellum(32.1); Cells_EBV-transformed_lymphocytes(16.1); Testis(13.6); Ovary(9.3),broad,"PTIP scaffold — MLL3/4 (KMT2C/D) complex + DNA-damage response (broad, incl. cerebellum)",1.0,0.198,True,"Broadly expressed incl. brain; among the most LoF-intolerant here (pLI 1.0, LOEUF 0.20, lof_z 8.7). Scaffolds a histone-methyltransferase complex and DDR — broadly essential chromatin/genome-maintenance factor.",liability
CBLB,Nerve_Tibial(33.8); Adipose_Subcutaneous(31.9); Brain_Cerebellar_Hemisphere(27.2); Adipose_Visceral_Omentum(23.0); Brain_Cerebellum(22.4),broad,"RING E3 ubiquitin ligase, T-cell negative regulator (low tissue specificity)",1.0,0.399,True,"Constrained E3 ligase (pLI 1.0, LOEUF 0.40), broadly expressed at moderate levels. Canonical T-cell brake; KO mice viable but autoimmune-prone — on-target autoimmunity risk. Well-precedented immuno-oncology target (Cbl-b inhibitors in trials).",watch
CD6,Spleen(28.6); Whole_Blood(19.1); Small_Intestine_Terminal_Ileum(14.1); Lung(7.6); Fallopian_Tube(2.7),immune-restricted,"cell-surface T-cell receptor (tissue-enhanced, lineage-enriched T cells)",0.0,0.884,False,"T-cell-surface scavenger-receptor, spleen/blood-restricted (lineage enriched). LoF-tolerant (pLI 0, LOEUF 0.88). Cell-surface, immune-restricted, drugged (itolizumab / CD6-axis biologics). CAVEAT: GTEx is a resting/bulk-tissue survey; this receptor is activation-inducible, so low off-tissue TPM reflects the resting state only, not an activated-state safety negative.",clean (resting-state)
